Character,Sentence,Sentiment,Valence_Score,Emotions
Character,Sentence,neutral,0.0,
CAESAR,by William ShakespeareDramatis Personae,neutral,0.0,
CAESAR,", Roman statesman and general",positive,0.05000000000000002,"trust, positive"
ANTONY,", general and friend of Caesar, a Triumvir after hisdeath",positive,0.05000000000000002,"trust, positive"
BRUTUS,", leader of the conspiracy against Caesar",neutral,0.0,"fear, trust, positive"
CASSIUS,", instigator of the conspiracy",neutral,0.0,fear
CASCA,",conspirator against Caesar",neutral,0.0,"fear, anger, negative, disgust, anticipation"
BRUTUS,",""""""",neutral,0.0,
FLAVIUS,", tribune",neutral,0.0,trust
MARULLUS,", tribune",neutral,0.0,trust
FLAVIUS,". Hence, home, you idle creatures, get you home.Is this a holiday? What, know you not,Being mechanical, you ought not walkUpon a laboring day without the signOf your profession? Speak, what trade art thou?",neutral,0.0,positive
MARULLUS,". Where is thy leather apron and thy rule?What dost thou with thy best apparel on?You, sir, what trade are you?",positive,0.5,trust
MARULLUS,. But what trade art thou? Answer me directly.,positive,0.03333333333333333,"trust, surprise, positive, sadness, joy, anticipation"
MARULLUS,". What trade, thou knave? Thou naughty knave, whattrade?",negative,-0.05000000000000001,"trust, negative"
MARULLUS,". What mean'st thou by that? Mend me, thou saucyfellow!",negative,-0.10416666666666667,
FLAVIUS,". Thou art a cobbler, art thou?",neutral,0.0,"surprise, positive, sadness, joy, anticipation"
FLAVIUS,. But wherefore art not in thy shop today?Why dost thou lead these men about the streets?,neutral,0.0,positive
MARULLUS,". Wherefore rejoice? What conquest brings he home?What tributaries follow him to RomeTo grace in captive bonds his chariot wheels?You blocks, you stones, you worse than senseless things!O you hard hearts, you cruel men of Rome,Knew you not Pompey? Many a time and oftHave you climb'd up to walls and battlements,To towers and windows, yea, to chimney tops,Your infants in your arms, and there have satThe livelong day with patient expectationTo see great Pompey pass the streets of Rome.And when you saw his chariot but appear,Have you not made an universal shoutThat Tiber trembled underneath her banksTo hear the replication of your soundsMade in her concave shores?And do you now put on your best attire?And do you now cull out a holiday?And do you now strew flowers in his wayThat comes in triumph over Pompey's blood?Be gone!Run to your houses, fall upon your knees,Pray to the gods to intermit the plagueThat needs must light on this ingratitude.",positive,0.04177083333333331,negative
FLAVIUS,". Go, go, good countrymen, and, for this fault,Assemble all the poor men of your sort,Draw them to Tiber banks, and weep your tearsInto the channel, till the lowest streamDo kiss the most exalted shores of all.Exeunt all Commoners.See whether their basest metal be not moved;They vanish tongue-tied in their guiltiness.Go you down that way towards the Capitol;This way will I. Disrobe the imagesIf you do find them deck'd with ceremonies.",positive,0.08055555555555555,"surprise, positive, negative, sadness, joy"
MARULLUS,. May we do so?You know it is the feast of Lupercal.,neutral,0.0,
FLAVIUS,". It is no matter; let no imagesBe hung with Caesar's trophies. I'll aboutAnd drive away the vulgar from the streets;So do you too, where you perceive them thick.These growing feathers pluck'd from Caesar's wingWill make him fly an ordinary pitch,Who else would soar above the view of menAnd keep us all in servile fearfulness.Exeunt.",negative,-0.012499999999999992,"negative, disgust"
CAESAR,. Calpurnia!,neutral,0.0,
CASCA,". Peace, ho! Caesar speaks.Music ceases.",neutral,0.0,
CAESAR,. Calpurnia!,neutral,0.0,
CAESAR,". Stand you directly in Antonio's way,When he doth run his course. Antonio!",positive,0.03333333333333333,
ANTONY,". Caesar, my lord?",neutral,0.0,"trust, positive, negative, disgust"
CAESAR,". Forget not in your speed, Antonio,To touch Calpurnia, for our elders sayThe barren, touched in this holy chase,Shake off their sterile curse.",neutral,0.0,negative
ANTONY,". I shall remember.When Caesar says ""Do this,"" it is perform'd.",neutral,0.0,
CAESAR,". Set on, and leave no ceremony out.Flourish.",neutral,0.0,surprise
CAESAR,. Ha! Who calls?,neutral,0.0,"trust, negative, anticipation"
CASCA,. Bid every noise be still. Peace yet again!,neutral,0.0,negative
CAESAR,". Who is it in the press that calls on me?I hear a tongue, shriller than all the music,Cry ""Caesar."" Speak, Caesar is turn'd to hear.",neutral,0.0,"trust, positive, negative, sadness, joy, anticipation"
CAESAR,. What man is that?,neutral,0.0,
BRUTUS,. A soothsayer you beware the ides of March.,neutral,0.0,"fear, negative, anticipation"
CAESAR,. Set him before me let me see his face.,neutral,0.0,
CASSIUS,". Fellow, come from the throng; look upon Caesar.",neutral,0.0,
CAESAR,. What say'st thou to me now? Speak once again.,neutral,0.0,
CAESAR,. He is a dreamer; let us leave him. Pass.Sennet. Exeunt all but Brutus and Cassius.,neutral,0.0,"surprise, negative, sadness"
CASSIUS,. Will you go see the order of the course?,neutral,0.0,
BRUTUS,. Not I.,neutral,0.0,
CASSIUS,". I pray you, do.",neutral,0.0,"fear, trust, surprise, positive, joy, anticipation"
BRUTUS,". I am not gamesome; I do lack some partOf that quick spirit that is in Antony.Let me not hinder, Cassius, your desires;I'll leave you.",positive,0.16666666666666666,negative
CASSIUS,". Brutus, I do observe you now of late;I have not from your eyes that gentlenessAnd show of love as I was wont to have;You bear too stubborn and too strange a handOver your friend that loves you.",positive,0.1125,"trust, positive, joy"
BRUTUS,". Cassius,Be not deceived; if I have veil'd my look,I turn the trouble of my countenanceMerely upon myself. Vexed I amOf late with passions of some difference,Conceptions only proper to myself,Which give some soil perhaps to my behaviors;But let not therefore my good friends be grieved-Among which number, Cassius, be you one-Nor construe any further my neglectThan that poor Brutus with himself at warForgets the shows of love to other men.",negative,-0.05104166666666667,"positive, negative"
CASSIUS,". Then, Brutus, I have much mistook your passion,By means whereof this breast of mine hath buriedThoughts of great value, worthy cogitations.Tell me, good Brutus, can you see your face?",positive,0.25416666666666665,"trust, positive"
BRUTUS,". No, Cassius, for the eye sees not itselfBut by reflection, by some other things.",negative,-0.0625,
CASSIUS,". 'Tis just,And it is very much lamented, Brutus,That you have no such mirrors as will turnYour hidden worthiness into your eyeThat you might see your shadow. I have heardWhere many of the best respect in Rome,Except immortal Caesar, speaking of BrutusAnd groaning underneath this age's yoke,Have wish'd that noble Brutus had his eyes.",positive,0.24370370370370373,positive
BRUTUS,". Into what dangers would you lead me, Cassius,That you would have me seek into myselfFor that which is not in me?",neutral,0.0,"positive, anticipation"
CASSIUS,". Therefore, good Brutus, be prepared to hear,And since you know you cannot see yourselfSo well as by reflection, I your glassWill modestly discover to yourselfThat of yourself which you yet know not of.And be not jealous on me, gentle Brutus;Were I a common laugher, or did useTo stale with ordinary oaths my loveTo every new protester, if you knowThat I do fawn on men and hug them hardAnd after scandal them, or if you knowThat I profess myself in banquetingTo all the rout, then hold me dangerous.Flourish and shout.",positive,0.006168831168831165,negative
BRUTUS,. What means this shouting? I do fear the peopleChoose Caesar for their king.,neutral,0.0,"fear, anger, positive, negative"
CASSIUS,". Ay, do you fear it?Then must I think you would not have it so.",neutral,0.0,"fear, anger, negative"
BRUTUS,". I would not, Cassius, yet I love him well.But wherefore do you hold me here so long?What is it that you would impart to me?If it be aught toward the general good,Set honor in one eye and death i' the otherAnd I will look on both indifferently.For let the gods so speed me as I loveThe name of honor more than I fear death.",positive,0.17500000000000002,positive
