Character,Sentence
CAESAR,by William ShakespeareDramatis Personae
CAESAR,", Roman statesman and general"
ANTONY,", general and friend of Caesar, a Triumvir after hisdeath"
BRUTUS,", leader of the conspiracy against Caesar"
CASSIUS,", instigator of the conspiracy"
CASCA,",conspirator against Caesar"
BRUTUS,","""""""
FLAVIUS,", tribune"
MARULLUS,", tribune"
FLAVIUS,". Hence, home, you idle creatures, get you home.Is this a holiday? What, know you not,Being mechanical, you ought not walkUpon a laboring day without the signOf your profession? Speak, what trade art thou?"
MARULLUS,". Where is thy leather apron and thy rule?What dost thou with thy best apparel on?You, sir, what trade are you?"
MARULLUS,. But what trade art thou? Answer me directly.
MARULLUS,". What trade, thou knave? Thou naughty knave, whattrade?"
MARULLUS,". What mean'st thou by that? Mend me, thou saucyfellow!"
FLAVIUS,". Thou art a cobbler, art thou?"
FLAVIUS,. But wherefore art not in thy shop today?Why dost thou lead these men about the streets?
MARULLUS,". Wherefore rejoice? What conquest brings he home?What tributaries follow him to RomeTo grace in captive bonds his chariot wheels?You blocks, you stones, you worse than senseless things!O you hard hearts, you cruel men of Rome,Knew you not Pompey? Many a time and oftHave you climb'd up to walls and battlements,To towers and windows, yea, to chimney tops,Your infants in your arms, and there have satThe livelong day with patient expectationTo see great Pompey pass the streets of Rome.And when you saw his chariot but appear,Have you not made an universal shoutThat Tiber trembled underneath her banksTo hear the replication of your soundsMade in her concave shores?And do you now put on your best attire?And do you now cull out a holiday?And do you now strew flowers in his wayThat comes in triumph over Pompey's blood?Be gone!Run to your houses, fall upon your knees,Pray to the gods to intermit the plagueThat needs must light on this ingratitude."
FLAVIUS,". Go, go, good countrymen, and, for this fault,Assemble all the poor men of your sort,Draw them to Tiber banks, and weep your tearsInto the channel, till the lowest streamDo kiss the most exalted shores of all.Exeunt all Commoners.See whether their basest metal be not moved;They vanish tongue-tied in their guiltiness.Go you down that way towards the Capitol;This way will I. Disrobe the imagesIf you do find them deck'd with ceremonies."
MARULLUS,. May we do so?You know it is the feast of Lupercal.
FLAVIUS,". It is no matter; let no imagesBe hung with Caesar's trophies. I'll aboutAnd drive away the vulgar from the streets;So do you too, where you perceive them thick.These growing feathers pluck'd from Caesar's wingWill make him fly an ordinary pitch,Who else would soar above the view of menAnd keep us all in servile fearfulness.Exeunt."
CAESAR,. Calpurnia!
CASCA,". Peace, ho! Caesar speaks.Music ceases."
